,Date,Low,High,Close,Open
3300,2010-08-11,9.02,9.49,9.13,9.36
3299,2011-11-25,3.98,4.19,4.02,3.99
3298,2016-06-23,29.77,30.49,30.33,30.25
3297,2017-02-15,46.93,48.05,47.54,47.59
3296,2011-02-08,9.81,10.1,9.88,9.85
3295,2017-08-21,45.41,46.09,45.71,45.73
3294,2005-11-03,27.6,28.1,27.87,27.6
3293,2014-03-12,37.23,38.08,37.5599,37.97
3292,2017-01-05,45.61,46.93,45.89,46.52
3291,2015-03-02,47.85,48.57,48.31,48.2
3290,2011-03-08,8.33,9.3,9.28,8.33
3289,2017-07-14,53.34,54.28,54.22,53.8
3288,2009-11-18,3.21,3.37,3.27,3.36
3287,2018-02-05,49.75,52.39,49.76,51.99
3286,2015-11-12,43.82,44.52,43.9,44.29
3285,2017-07-07,52.18,53.38,53.03,52.3
3284,2016-04-07,37.91,39.05,38.36,38.66
3283,2017-05-05,43.77,44.52,44.51,44.0
3282,2009-11-20,3.04,3.18,3.1,3.1
3281,2009-04-01,2.44,2.7,2.6,2.46
3280,2011-10-17,5.71,6.14,5.85,6.02
3279,2018-03-02,51.87,53.415,53.18,52.9
3278,2014-08-01,38.43,39.53,39.43,38.75
3277,2015-08-27,37.97,39.45,39.03,39.17
3276,2008-05-07,7.25,8.31,7.34,7.99
3275,2015-02-13,46.65,48.4,48.39,47.53
3274,2017-11-13,45.33,45.86,45.74,45.63
3273,2015-11-20,42.05,42.71,42.2,42.4
3272,2013-11-12,22.5,25.49,23.52,23.26
3271,2006-01-27,28.3,30.2,28.89,30.2
3270,2014-02-19,34.11,35.09,34.59,34.25
3269,2006-03-16,34.8,35.35,35.17,35.2
3268,2011-03-03,8.22,8.65,8.36,8.39
3267,2006-11-09,48.71,49.39,48.91,49.3
3266,2013-03-19,16.41,16.85,16.78,16.48
3265,2016-06-14,30.02,31.97,30.36,31.81
3264,2012-07-23,11.54,12.37,12.08,11.88
3263,2013-07-22,18.0,18.3,18.15,18.25
3262,2011-07-06,8.3,8.5,8.34,8.45
3261,2010-07-26,10.37,10.94,10.91,10.4
3260,2010-02-04,5.47,5.82,5.49,5.82
3259,2009-07-27,2.62,2.9,2.8,2.9
3258,2011-06-20,8.44,8.68,8.6,8.48
3257,2017-02-23,45.89,47.32,46.1,46.42
3256,2007-11-05,24.9,26.27,25.15,25.88
3255,2011-06-07,8.51,8.75,8.56,8.65
3254,2015-04-27,51.695,52.68,51.87,52.68
